Participant,Temperature,Duration,Location
2,-12,2.0,0.0
2,6,0.1,0.75
2,0,0.1,0.75
2,-15,1.5,0.25
2,0,0.1,0.75
2,6,1.5,0.0
2,6,0.5,1.0
2,0,1.5,0.5
2,6,0.1,0.25
2,6,1.0,0.5
2,9,1.0,0.5
2,9,0.1,0.75
2,-12,0.5,1.0
2,9,0.5,0.25
2,-15,1.5,0.0
2,-15,1.0,0.25
2,0,0.5,1.0
2,9,1.0,1.0
2,6,1.5,1.0
2,9,0.1,0.5
2,6,0.5,0.75
2,-12,0.1,0.25
2,0,0.1,0.25
2,0,1.5,0.0
2,-15,2.0,1.0
2,-12,2.0,1.0
2,9,1.0,0.25
2,0,1.0,0.75
2,9,1.5,0.0
2,6,0.5,0.0
2,0,2.0,1.0
2,0,1.5,0.0
2,-12,2.0,0.75
2,-12,2.0,0.75
2,6,0.1,0.75
2,-15,2.0,1.0
2,-12,0.5,0.75
2,-15,1.5,0.5
2,-12,0.5,0.0
2,0,2.0,1.0
2,9,1.5,0.5
2,-15,0.5,0.75
2,9,1.5,1.0
2,-15,0.1,0.0
2,6,0.5,1.0
2,-12,1.0,0.25
2,6,1.0,0.75
2,-12,2.0,0.25
2,9,1.0,1.0
2,-15,1.0,0.5
2,9,2.0,1.0
2,-15,0.5,1.0
2,6,0.1,1.0
2,-15,0.5,0.5
2,-15,0.1,0.25
2,-15,1.0,0.75
2,9,2.0,0.25
2,-12,1.0,0.5
2,-12,1.0,1.0
2,0,2.0,0.25
2,6,2.0,0.0
2,-12,0.5,1.0
2,9,0.5,0.5
2,6,1.0,0.25
2,6,2.0,0.0
2,0,2.0,0.0
2,6,0.1,1.0
2,6,1.0,0.25
2,0,0.1,0.5
2,9,2.0,0.25
2,-12,2.0,0.75
2,0,1.0,0.5
2,-15,0.1,0.5
2,-12,0.1,1.0
2,-12,0.1,0.0
2,-12,0.5,0.25
2,6,2.0,0.25
2,6,1.0,0.5
2,-15,0.1,0.75
2,-12,1.5,1.0
2,9,0.5,0.0
2,0,0.1,0.0
2,0,1.5,0.25
2,6,1.5,0.75
2,-15,1.0,0.25
2,-15,0.1,0.25
2,-15,0.1,0.5
2,6,0.5,0.0
2,-12,2.0,0.0
2,-15,2.0,0.0
2,-15,1.5,0.25
2,6,2.0,0.75
2,0,1.5,0.75
2,0,1.0,0.5
2,-12,2.0,0.25
2,0,2.0,0.75
2,-15,1.0,0.0
2,-12,0.5,0.75
2,-12,0.1,0.75
2,9,0.5,0.75
2,-15,1.5,1.0
2,-15,2.0,1.0
2,-12,0.5,0.75
2,6,0.5,0.75
2,-15,0.1,0.5
2,-15,0.5,0.75
2,9,1.0,0.75
2,0,1.0,0.25
2,6,0.5,0.25
2,-12,0.5,0.0
2,0,0.5,0.75
2,-15,1.0,0.5
2,-12,1.5,0.5
2,-12,2.0,0.0
2,-12,1.5,0.75
2,9,0.5,0.0
2,9,0.1,0.0
2,-12,1.0,0.75
2,6,0.5,0.25
2,0,1.0,1.0
2,9,0.1,0.25
2,-15,0.5,1.0
2,9,2.0,0.25
2,9,1.0,0.0
2,6,1.5,0.25
2,-15,1.0,0.0
2,0,1.0,0.0
2,0,2.0,0.25
2,0,0.5,0.0
2,9,1.0,0.75
2,0,1.0,0.0
2,9,1.5,0.25
2,0,1.0,0.25
2,9,1.0,0.0
2,9,0.1,0.75
2,-15,2.0,0.5
2,-12,0.1,0.0
2,9,0.1,1.0
2,9,1.5,0.75
2,0,1.5,0.75
2,6,1.0,0.0
2,6,0.1,0.5
2,9,2.0,1.0
2,6,1.5,1.0
2,9,0.1,1.0
2,6,0.1,0.5
2,0,0.1,0.0
2,0,0.5,1.0
2,0,0.5,0.0
2,-15,1.5,1.0
2,6,2.0,1.0
2,-12,0.1,0.5
2,-12,1.5,0.75
2,-15,0.5,0.75
2,-12,0.1,1.0
2,9,0.1,0.5
2,-12,0.5,0.25
2,0,1.5,0.5
2,9,2.0,0.75
2,6,0.5,0.25
2,9,1.0,0.5
2,9,1.5,0.25
2,-15,2.0,0.5
2,-12,0.1,0.0
2,-15,0.5,0.5
2,-12,0.5,0.5
2,-12,0.5,0.0
2,0,0.1,0.25
2,0,1.5,0.25
2,-15,2.0,0.0
2,6,2.0,0.5
2,0,1.0,0.0
2,-15,0.5,0.5
2,-12,0.1,0.75
2,-15,0.5,0.25
2,-15,1.0,0.25
2,-15,0.1,1.0
2,-15,1.0,0.75
2,0,2.0,0.5
2,6,0.1,0.5
2,6,0.1,0.75
2,-12,1.5,0.0
2,-15,2.0,0.75
2,-15,0.5,0.25
2,6,2.0,0.75
2,-12,2.0,1.0
2,0,2.0,0.25
2,6,1.0,0.5
2,0,1.5,0.5
2,-15,2.0,0.75
2,0,0.5,0.5
2,6,0.1,0.25
2,6,2.0,0.0
2,9,1.5,0.25
2,0,1.0,0.5
2,-15,0.1,0.0
2,9,0.5,0.25
2,6,1.5,1.0
2,6,2.0,0.5
2,-12,1.0,0.5
2,9,2.0,0.75
2,-12,1.5,0.0
2,0,0.5,0.25
2,0,0.5,0.25
2,0,1.5,1.0
2,-12,1.5,0.5
2,6,1.0,0.75
2,-15,1.5,0.75
2,6,1.0,1.0
2,-12,0.1,0.75
2,9,2.0,0.5
2,-12,0.1,0.25
2,9,2.0,0.75
2,0,0.5,0.25
2,-12,0.1,1.0
2,6,0.5,1.0
2,6,0.5,0.75
2,-12,1.0,0.0
2,0,2.0,0.75
2,-15,0.1,0.75
2,-12,1.0,0.75
2,-15,1.5,0.5
2,0,2.0,1.0
2,-12,1.5,1.0
2,9,0.1,0.5
2,-15,2.0,0.0
2,-15,1.5,0.75
2,-15,1.0,1.0
2,9,1.0,0.0
2,0,1.5,1.0
2,-12,2.0,0.5
2,-15,1.5,0.0
2,-12,2.0,0.25
2,9,2.0,1.0
2,0,1.5,1.0
2,6,1.5,0.25
2,6,1.0,0.25
2,0,1.5,0.0
2,-12,1.0,0.5
2,9,0.5,1.0
2,-12,1.0,1.0
